materia,edicao,tema,enunciado,alt_a,alt_b,alt_c,alt_d,correta,comentario
"constitucional","XXXI","Direitos Sociais e Reserva do Possível","Preocupado com o grande número de ações judiciais referentes a possíveis omissões inconstitucionais sobre direitos sociais e, em especial, sobre o direito à saúde, o Procurador-Geral do Estado Beta (PGE) procurou traçar sua estratégia hermenêutica de defesa a partir de dois grandes argumentos jurídicos: em primeiro lugar, destacou que a efetividade dos direitos prestacionais de segunda dimensão, promovida pelo Poder Judiciário, deve levar em consideração a disponibilidade financeira estatal; um segundo argumento é o relativo à falta de legitimidade democrática de juízes e tribunais para fixar políticas públicas no lugar do legislador eleito pelo povo. Diante de tal situação, assinale a opção que apresenta os conceitos jurídicos que correspondem aos argumentos usados pelo PGE do Estado Beta.","Dificuldade contraparlamentar e reserva do impossível.","Reserva do possível fática e separação dos Poderes.","Reserva do possível jurídica e reserva de jurisdição do Poder Judiciário.","Reserva do possível fática e reserva de plenário.","B","A questão exige conhecimento doutrinário a respeito da Teoria Geral do Direito Fundamental. Encontramos sua resposta através da análise dos dois argumentos jurídicos utilizados na estratégia de defesa do Procurador-Geral do Estado (PGE). Analisando o primeiro argumento, lembramos que Ingo Sarlet dividiu a Reserva do Possível em três dimensões: 1. Possibilidade Fática: disponibilidade de recursos necessários à satisfação do direito prestacional (ônus da prova do Estado). Ademais, em se tratando do segundo argumento, o STF possui diversos entendimentos alegando que o Judiciário poderá fixar políticas públicas quando houver omissão legislativa ou inércia executiva, sem que isso ofenda a separação dos Poderes."
"constitucional","XXXI","Imunidade Parlamentar","Josué, deputado federal no regular exercício do mandato, em entrevista dada, em sua residência, à revista Pensamento, acusa sua adversária política Aline de envolvimento com escândalos de desvio de verbas públicas, o que é objeto de investigação em Comissão Parlamentar de Inquérito instaurada poucos dias antes. Não obstante, após ser indagado sobre os motivos que nutriam as acaloradas disputas entre ambos, Josué emite opinião com ofensas de cunho pessoal, sem qualquer relação com o exercício do mandato parlamentar. Diante do caso hipotético narrado, conforme reiterada jurisprudência do Supremo Tribunal Federal sobre o tema, assinale a afirmativa correta.","Josué poderá ser responsabilizado penal e civilmente, inclusive por danos morais, pelas ofensas proferidas em desfavor de Aline que não guardem qualquer relação com o exercício do mandato parlamentar.","Josué encontra-se protegido pela imunidade material ou inviolabilidade por suas opiniões, palavras e votos, o que, considerado o caráter absoluto dessa prerrogativa, impede a sua responsabilização por quaisquer das declarações prestadas à revista.","Josué poderá ter sua imunidade material afastada em virtude de as declarações terem sido prestadas fora da respectiva casa legislativa, independentemente de estarem, ou não, relacionadas ao exercício do mandato.","A imunidade material, consagrada constitucionalmente, foi declarada inconstitucional pelo Supremo Tribunal Federal, de modo que Josué não poderá valer-se de tal prerrogativa para se isentar de eventual responsabilidade pelas ofensas dirigidas a Aline.","A","A questão trata a respeito da Imunidade Parlamentar. A CF/88 afirma que: Art. 53 - Os Deputados e Senadores são invioláveis, civil e penalmente, por quaisquer de suas opiniões, palavras e votos. Porém, de acordo com a reiterada Jurisprudência do Supremo Tribunal Federal, a imunidade material garante que os parlamentares federais são invioláveis, civil e penalmente, por quaisquer de suas opiniões, palavras e votos, desde que proferidos em razão de suas funções parlamentares, no exercício e relacionados ao mandato (trata-se de manifestações que possuem nexo de causalidade com a atividade parlamentar), não se restringindo ao âmbito do Congresso Nacional."
"constitucional","XXXI","Medida Provisória e Crédito Extraordinário","Diante das intensas chuvas que atingiram o Estado Alfa, que se encontra em situação de calamidade pública, o Presidente da República, ante a relevância e urgência latentes, edita a Medida Provisória nº XX/19, determinando a abertura de crédito extraordinário para atender às despesas imprevisíveis a serem realizadas pela União, em decorrência do referido desastre natural. A partir da situação hipotética narrada, com base no texto constitucional vigente, assinale a afirmativa correta.","A Constituição de 1988 veda, em absoluto, a edição de ato normativo dessa natureza sobre matéria orçamentária, de modo que a abertura de crédito extraordinário deve ser feita por meio de lei ordinária de iniciativa do Chefe do Executivo.","A Constituição de 1988 veda a edição de ato normativo dessa natureza em matéria de orçamento e créditos adicionais e suplementares, mas ressalva a possibilidade de abertura de crédito extraordinário para atender a despesas imprevisíveis e urgentes, como as decorrentes de calamidade pública.","O ato normativo editado afronta o princípio constitucional da anterioridade orçamentária, o qual impede quaisquer modificações nas leis orçamentárias após sua aprovação pelo Congresso Nacional e consequente promulgação presidencial.","O ato normativo editado é harmônico com a ordem constitucional, que autoriza a edição de medidas provisórias que versem sobre planos plurianuais, diretrizes orçamentárias, orçamento e créditos adicionais, suplementares e extraordinários, desde que haja motivação razoável.","B","A Constituição de 1988 veda a edição de ato normativo (Medida Provisória) dessa natureza em matéria de orçamento e créditos adicionais e suplementares, mas ressalva a possibilidade de abertura de crédito extraordinário para atender a despesas imprevisíveis e urgentes, como as decorrentes de calamidade pública. Assim dispõe a CF/88: Art. 62, § 1º É vedada a edição de medidas provisórias sobre matéria: [...] d) planos plurianuais, diretrizes orçamentárias, orçamento e créditos adicionais e suplementares, ressalvado o previsto no art. 167, § 3º. Art. 167, § 3º A abertura de crédito extraordinário somente será admitida para atender a despesas imprevisíveis e urgentes, como as decorrentes de guerra, comoção interna ou calamidade pública, observado o disposto no art. 62."
"constitucional","XXXI","Mandado de Segurança Coletivo","Alfa, entidade de classe de abrangência regional, legalmente constituída e em funcionamento há mais de 1 ano, ingressa, perante o Supremo Tribunal Federal, com mandado de segurança coletivo para tutelar os interesses jurídicos de seus representados. Considerando a urgência do caso, Alfa não colheu autorização dos seus associados para a impetração da medida. Com base na narrativa acima, assinale a afirmativa correta.","Alfa não tem legitimidade para impetrar mandado de segurança coletivo, de modo que a defesa dos seus associados em juízo deve ser feita pelo Ministério Público ou, caso evidenciada situação de vulnerabilidade, pela Defensoria Pública.","Alfa goza de ampla legitimidade para impetrar mandado de segurança coletivo, inclusive para tutelar direitos e interesses titularizados por pessoas estranhas à classe por ela representada.","Alfa possui legitimidade para impetrar mandado de segurança coletivo em defesa dos interesses jurídicos dos seus associados, sendo, todavia, imprescindível a prévia autorização nominal e individualizada dos representados, em assembleia especialmente convocada para esse fim.","Alfa possui legitimidade para impetrar mandado de segurança coletivo em defesa dos interesses jurídicos da totalidade ou mesmo de parte dos seus associados, independentemente de autorização.","D","Quanto à legitimidade e autorização para propositura do Mandado de Segurança Coletivo, a Lei 12.016/09 disciplinou que: Art. 21. O mandado de segurança coletivo pode ser impetrado por partido político com representação no Congresso Nacional, na defesa de seus interesses legítimos relativos a seus integrantes ou à finalidade partidária, ou por organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há, pelo menos, 1 (um) ano, em defesa de direitos líquidos e certos da totalidade, ou de parte, dos seus membros ou associados, na forma dos seus estatutos e desde que pertinentes às suas finalidades, dispensada, para tanto, autorização especial. Da mesma forma, de acordo com a Súmula 629, STF, in verbis: ""A impetração de mandado de segurança coletivo por entidade de classe em favor dos associados independe da autorização destes""."
"constitucional","XXXI","Incentivos Fiscais Regionais","O governo federal, visando ao desenvolvimento e à redução das desigualdades no sertão nordestino do Brasil, editou a Lei Complementar Y, que dispôs sobre a concessão de isenções e reduções temporárias de tributos federais devidos por pessoas físicas e jurídicas situadas na referida região. Sobre a Lei Complementar Y, assinale a afirmativa correta.","É formalmente inconstitucional, eis que a Constituição da República de 1988 proíbe expressamente a criação de regiões, para efeitos administrativos, pela União.","É materialmente inconstitucional, sendo vedada a concessão de incentivos regionais de tributos federais, sob pena de violação ao princípio da isonomia federativa.","É formal e materialmente constitucional, sendo possível que a União conceda incentivos visando ao desenvolvimento econômico e à redução das desigualdades no sertão nordestino.","Apresenta inconstitucionalidade formal subjetiva, eis que cabe aos Estados e ao Distrito Federal, privativamente, criar regiões administrativas visando ao seu desenvolvimento e à redução das desigualdades.","C","A Constituição Federal, em seu art. 43, § 1º e 2º prevê que: CF, art. 43. Para efeitos administrativos, a União poderá articular sua ação em um mesmo complexo geoeconômico e social, visando a seu desenvolvimento e à redução das desigualdades regionais. § 1o - LC disporá sobre: I - as condições para integração de regiões em desenvolvimento; § 2o - Os incentivos regionais compreenderão, além de outros, na forma da lei; III - (1) isenções, (2) reduções ou (3) diferimento temporário de tributos federais devidos por pessoas físicas ou jurídicas;"
"constitucional","XXXI","Inelegibilidade","José Maria, no ano de 2016, foi eleito para exercer o seu primeiro mandato como Prefeito da Cidade Delta, situada no Estado Alfa. Nesse mesmo ano, a filha mais jovem de José Maria, Janaina (22 anos), elegeu-se vereadora e já se organiza para um segundo mandato como vereadora. Rosária (26 anos), a outra filha de José Maria, animada com o sucesso da irmã mais nova e com a popularidade do pai, que pretende concorrer à reeleição, faz planos para ingressar na política, disputando uma das cadeiras da Assembleia Legislativa do Estado Alfa. Diante desse quadro, a família contrata um advogado para orientá-la. Após analisar a situação, seguindo o sistema jurídico-constitucional brasileiro, o advogado afirma que","as filhas não poderão concorrer aos cargos almejados, a menos que José Maria desista de concorrer à reeleição para o cargo de chefe do Poder Executivo do Município Delta.","Rosária pode se candidatar ao cargo de deputada estadual, mas Janaina não poderá se candidatar ao cargo de vereadora em Delta, pois seu pai ocupa o cargo de chefe do Poder Executivo do referido município.","as candidaturas de Janaina, para reeleição ao cargo de vereadora, e de Rosária, para o cargo de deputada estadual, não encontram obstáculo no fato de José Maria ser prefeito de Delta.","Janaina pode se candidatar ao cargo de vereadora, mas sua irmã Rosária não poderá se candidatar ao cargo de deputada estadual, tendo em vista o fato de seu pai exercer a chefia do Poder Executivo do município.","C","Art. 14, § 7º - São inelegíveis, no território de jurisdição do titular, o cônjuge e os parentes consanguíneos ou afins, até o segundo grau ou por adoção, do Presidente da República, de Governador de Estado ou Território, do Distrito Federal, de Prefeito ou de quem os haja substituído dentro dos seis meses anteriores ao pleito, salvo se já titular de mandato eletivo e candidato à reeleição. Portanto, podemos depreender do texto legal que Janaina pode ser candidata à reeleição, pois não há que se falar em inelegibilidade se o parente já é titular de mandato eletivo e candidato à reeleição. Da mesma forma, Rosária também é elegível, pois sua candidatura é direcionada para a Assembleia Legislativa do Estado Alfa, sendo a circunscrição distinta de seu pai (Estado Delta)."
"constitucional","XXXI","Remuneração Militar e Habeas Corpus","João dos Santos foi selecionado para atuar como praça prestadora de serviço militar inicial, fato que lhe permitirá ser o principal responsável pelos meios de subsistência de sua família. No entanto, ficou indignado ao saber que sua remuneração será inferior ao salário mínimo, contrariando o texto constitucional, insculpido no Art. 7º, inciso IV, da CRFB/88. Desesperado com tal situação, João entrou no gabinete do seu comandante e o questionou, de forma ríspida e descortês, acerca dessa remuneração supostamente inconstitucional, sofrendo, em consequência dessa conduta, punição administrativo-disciplinar de prisão por 5 dias, nos termos da legislação pertinente. Desolada, a família de João procurou um advogado para saber sobre a constitucionalidade da remuneração inferior ao salário mínimo, bem como da possibilidade de a prisão ser relaxada por ordem judicial. Nessas circunstâncias, nos termos do direito constitucional brasileiro e da jurisprudência do STF, assinale a opção que apresenta a resposta do advogado.","A remuneração inferior ao salário mínimo para as praças prestadoras de serviço militar inicial não viola a Constituição de 1988, bem como não cabe habeas corpus em relação às punições disciplinares militares, exceto para análise de pressupostos de legalidade, excluída a apreciação de questões referentes ao mérito.","A remuneração inferior ao salário mínimo contraria o Art. 7º, inciso IV, da Constituição de 1988, bem como se reconhece o cabimento de habeas corpus para as punições disciplinares militares, qualquer que seja a circunstância.","O estabelecimento de remuneração inferior ao salário mínimo para as praças prestadoras de serviço militar inicial não viola a Constituição da República, mas é cabível o habeas corpus para as punições disciplinares militares, até mesmo em relação a questões de mérito da sanção administrativa.","A remuneração inferior ao salário mínimo contraria a ordem constitucional, mais especificamente o texto constitucional inserido no Art. 7º, inciso IV, da Constituição de 1988, bem como não se reconhece o cabimento de habeas corpus em relação às punições disciplinares militares, exceto para análise dos pressupostos de legalidade, excluídas as questões de mérito da sanção administrativa.","A","Conforme a Súmula Vinculante 6: ""Não viola a Constituição o estabelecimento de remuneração inferior ao salário mínimo para as praças prestadoras de serviço militar inicial."" Ademais, de acordo com o Precedente Representativo, podemos afirmar que: 1. A CF/1988 não estendeu aos militares a garantia de remuneração não inferior ao salário mínimo, como o fez para outras categorias de trabalhadores. Não há possibilidade de cabimento do habeas corpus para combater as sanções disciplinares, conforme art. 142, § 2º, CF/88: Não caberá habeas corpus em relação a punições disciplinares militares."
"constitucional","XXXI","Pacto Internacional de Direitos Civis e Políticos","Recentemente assumiu a presidência da Câmara dos Deputados um parlamentar que afirma que o Brasil é um país soberano e não deve ter nenhum compromisso com os Direitos Humanos na ordem internacional. Afirma que, apesar de ter sido internamente ratificado, o Pacto Internacional dos Direitos Civis e Políticos não se caracteriza como norma vigente, e os direitos ali previstos podem ser suspensos ou não precisam ser aplicados. Por ser atuante na área dos Direitos Humanos, você foi convidado(a) pela Comissão de Direitos Humanos da Câmara dos Deputados para prestar mais esclarecimentos sobre o assunto. Com base no que dispõe o próprio Pacto Internacional dos Direitos Civis e Políticos - PIDCP, assinale a opção que apresenta o esclarecimento dado à Comissão:","Caso situações excepcionais ameacem a existência da nação e sejam proclamadas oficialmente, os Estados-partes podem adotar, na estrita medida exigida pela situação, medidas que suspendam as obrigações decorrentes do PIDCP, desde que tais medidas não acarretem discriminação por motivo de raça, cor, sexo, língua, religião ou origem social.","É admissível a suspensão das obrigações decorrentes do PIDCP quando houver, no âmbito do Estado- parte, um ato formal do Poder Legislativo e do Poder Executivo declarando o efeito suspensivo, desde que tal ato declare um prazo para essa suspensão, que, em nenhuma hipótese, pode exceder o período de 2 anos.","Em nenhuma hipótese ou situação os Estados-partes do PIDCP podem adotar medidas que suspendam as obrigações decorrentes do Pacto, uma vez que, ratificado o Pacto, todos os seus direitos vigoram de forma efetiva, não sendo admitida nenhuma possibilidade de suspensão ou exceção.","Mesmo ratificado, o Pacto Internacional dos Direitos Civis e Políticos e os direitos nele contidos não podem ser caracterizados como normas vigentes, uma vez que se trata de direitos em sentido fraco, de forma que apenas os direitos fundamentais, previstos na Constituição, são direitos em sentido forte.","A","ARTIGO 4: 1. Quando situações excepcionais ameacem a existência da nação e sejam proclamadas oficialmente, os Estados Partes do presente Pacto podem adotar, na estrita medida exigida pela situação, medidas que suspendam as obrigações decorrentes do presente Pacto, desde que tais medidas não sejam incompatíveis com as demais obrigações que lhes sejam impostas pelo Direito Internacional e não acarretem discriminação alguma apenas por motivo de raça, cor, sexo, língua, religião ou origem social."
"constitucional","XXXI","Liberdade de Expressão e Censura","Recentemente houve grande polêmica na cidade de Piraporanga, porque o Prefeito proibiu o museu local de realizar uma exposição, sob a alegação de que as obras de arte misturavam temas religiosos com conteúdos sexuais, além de haver quadros e esculturas obscenas. Você é contratada(o) para atuar no caso pelos autores das obras de arte e por intelectuais. Com base na Convenção Americana de Direitos Humanos e na Constituição Federal de 1988, assinale a opção que apresenta o argumento que você, como advogada(o), deveria adotar.","A censura prévia por autoridades administrativas competentes, como mecanismo eficaz para assegurar o respeito à reputação de pessoas e como forma de garantir a moralidade pública, deve ser admitida.","O exercício da liberdade de expressão e o da criação artística estão sujeitos à censura prévia, mas apenas por força de lei devidamente justificada, como forma de proteção da honra individual e da moral pública.","A liberdade de expressão e de criação artística estão sujeitas à censura prévia pelas autoridades competentes quando elas ocorrem por meio de exposições em museus, tendo em vista a proteção da memória nacional e da ordem pública.","A lei pode regular o acesso a diversões e espetáculos públicos, tendo em vista a proteção moral da infância e da adolescência, sendo vedada, porém, toda e qualquer censura prévia de natureza política, ideológica e artística.","D","A Constituição Federal, em seu artigo 220, dispõe: Art. 220. A manifestação do pensamento, a criação, a expressão e a informação, sob qualquer forma, processo ou veículo não sofrerão qualquer restrição, observado o disposto nesta Constituição. § 2º - É vedada toda e qualquer censura de natureza política, ideológica e artística. Na CADH, por outro lado, tem-se que: Artigo 13. Liberdade de pensamento e de expressão: 4. A lei pode submeter os espetáculos públicos a censura prévia, com o objetivo exclusivo de regular o acesso a eles, para proteção moral da infância e da adolescência, sem prejuízo do disposto no inciso 2."
"internacional","XXXI","Lei de Migração","Em razão da profunda crise econômica e da grave instabilidade institucional que assola seu país, Pablo resolve migrar para o Brasil, uma vez que, neste último, há melhores oportunidades para exercer seu trabalho e sustentar sua família. Em que pese Pablo possuir a finalidade de trabalhar, acabou por omitir tal informação, obtendo visto de visita, na modalidade turismo, para o Brasil. Considerando-se o enunciado acima, à luz da Lei de Migração em vigor (Lei nº 13.445/17), assinale a afirmativa correta.","Se Pablo, com o visto de visita, vier a exercer atividade remunerada no Brasil, poderá ser expulso do país.","Se Pablo, com o visto de visita, vier a exercer atividade remunerada no Brasil, poderá ser extraditado do país.","Pablo poderia solicitar, bem como obter, visto temporário para acolhida humanitária, diante da grave instabilidade institucional que assola seu país.","Pablo poderá obter asilo, em razão da profunda crise econômica que assola seu país.","C","De acordo com a Lei 13.445/17, o visto temporário pode ser conferido ao apátrida ou ao cidadão de qualquer nacionalidade mediante instabilidade institucional no país de origem, situação vivenciada por Pablo no caso apresentado no enunciado. Observa-se o artigo 14, § 3º da supracitada lei: Art. 14, § 3o O visto temporário para acolhida humanitária poderá ser concedido ao apátrida ou ao nacional de qualquer país em situação de grave ou iminente instabilidade institucional, de conflito armado, de calamidade de grande proporção, de desastre ambiental ou de grave violação de direitos humanos ou de direito internacional humanitário, ou em outras hipóteses, na forma de regulamento."
"internacional","XXXI","Competência Internacional e LINDB","Em função do incremento nas atividades de transporte aéreo no Brasil, a sociedade empresária Fast Plane, sediada no país, resolveu adquirir helicópteros de última geração da pessoa jurídica holandesa Nederland Air Transport, que ficou responsável pela fabricação, montagem e envio da mercadoria. O contrato de compra e venda restou celebrado, presencialmente, nos Estados Unidos da América, restando ajustado que o cumprimento da obrigação se dará no Brasil. No momento de receber as aeronaves, contudo, a adquirente verificou que o produto enviado era diverso do apontado no instrumento contratual. Decidiu a sociedade empresária Fast Plane, então, buscar auxílio jurídico para resolver a questão, inclusive para a propositura de eventual ação, caso não haja solução consensual. Considerando-se o enunciado acima, aplicando-se a Lei de Introdução às Normas do Direito Brasileiro (Decreto-lei n° 4.657/42) e o Código de Processo Civil, assinale a afirmativa correta.","A lei aplicável na solução da questão é a holandesa, em razão do local de fabricação e montagem das aeronaves adquiridas.","A autoridade judiciária brasileira será competente para processar e julgar eventual ação proposta pela Fast Plane, mesmo se estabelecida cláusula de eleição de foro exclusivo estrangeiro, em razão do princípio da inafastabilidade da jurisdição.","A autoridade judiciária brasileira tem competência exclusiva para processar e julgar eventual ação a ser proposta pela Fast Plane para resolver a questão.","A autoridade judiciária brasileira tem competência concorrente para processar e julgar eventual ação a ser proposta pela Fast Plane para resolver a questão.","D","LINDB: Art. 12. É competente a autoridade judiciária brasileira, quando for o réu domiciliado no Brasil ou aqui tiver de ser cumprida a obrigação. CPC 2015: Art. 21. Compete à autoridade judiciária brasileira processar e julgar as ações em que: II - no Brasil tiver de ser cumprida a obrigação; Art. 25. Não compete à autoridade judiciária brasileira o processamento e o julgamento da ação quando houver cláusula de eleição de foro exclusivo estrangeiro em contrato internacional, arguida pelo réu na contestação. A autoridade judiciária brasileira tem competência concorrente para processar e julgar eventual ação a ser proposta pela Fast Plane para resolver a questão."
"tributario","XXXI","ICMS sobre Transporte","A sociedade empresária ABC, concessionária de serviço de transporte público coletivo de passageiros, opera a linha de ônibus 123, que inicia seu trajeto no Município X e completa seu percurso no Município Y, ambos localizados no Estado Z. Sobre a prestação onerosa desse serviço de transporte, deve incidir","o ISS, a ser recolhido para o Município X.","o ISS, a ser recolhido para o Município Y.","o ICMS, a ser cobrado de forma conjunta pelo Município X e o Município Y.","o ICMS, a ser recolhido para o Estado em que se localizam o Município X e o Município Y.","D","CF88 Art. 155. Compete aos Estados e ao Distrito Federal instituir impostos sobre: (...) II - operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação, ainda que as operações e as prestações se iniciem no exterior; O ICMS é um imposto estadual previsto no art. 155, II, CF, e tem como fato gerador a circulação de mercadoria, serviço de comunicação e serviço de transporte interestadual e intermunicipal. Assim, o transporte entre municípios no mesmo Estado implica em serviço intermunicipal, o que assegura ao Estado onde estão localizados os Municípios X e Y a recolherem o ICMS."
"tributario","XXXI","Responsabilidade Tributária do Servidor","João da Silva, servidor da Administração Tributária do Município Y, recebeu propina de José Pereira, adquirente de um imóvel, para, em conluio com este, emitir uma certidão que atestava falsamente a quitação de débito do Imposto de Transmissão de Bens Imóveis (ITBI) incidente sobre a transferência de propriedade. A certidão seria apresentada ao tabelião para lavrar-se a escritura pública de compra e venda imobiliária e para posterior registro. Considerando-se que, nesse Município, o contribuinte de ITBI é o adquirente de imóvel, assinale a afirmativa correta.","O servidor João da Silva poderá ser responsabilizado funcional e criminalmente por esse ato, mas a dívida tributária somente poderá ser cobrada de José Pereira, o único que é parte na relação jurídico-tributária com o Município credor.","O servidor João da Silva poderá ser responsabilizado pessoalmente pelo crédito tributário e juros de mora acrescidos.","O tabelião poderá ser o único responsabilizado pela dívida tributária e juros de mora acrescidos, por ter lavrado a escritura pública sem averiguar, junto ao Fisco Municipal, a veracidade das informações da certidão apresentada.","Caso seja aplicada multa tributária punitiva contra José Pereira, este poderá exigir do Fisco que 50% do valor da multa seja cobrado do servidor João da Silva.","B","CTN: Art. 208 A certidão negativa expedida com dolo ou fraude, que contenha erro contra a Fazenda Pública, responsabiliza pessoalmente o funcionário que a expedir, pelo crédito tributário e juros de mora acrescidos. Parágrafo único. O disposto neste artigo não exclui a responsabilidade criminal e funcional que no caso couber."
"tributario","XXXI","ITBI sobre Direitos Reais de Garantia","Maria dos Santos, querendo constituir hipoteca sobre imóvel de sua propriedade em garantia de empréstimo bancário a ser por ela contraído, vai a um tabelionato para lavrar a escritura pública da referida garantia real. Ali, é informada que o Município Z, onde se situa o bem, cobra o Imposto de Transmissão de Bens Imóveis (ITBI) sobre a constituição de direitos reais de garantia. Diante desse cenário, assinale a afirmativa correta.","É possível tal cobrança, pois a constituição de direito real de garantia sobre bens imóveis, por ato inter vivos, é uma das hipóteses de incidência do ITBI.","O contribuinte do ITBI, nesse caso, não seria Maria dos Santos, mas sim a instituição bancária em favor de quem a garantia real será constituída.","O tabelião atua como responsável por substituição tributária, recolhendo, no lugar do contribuinte, o ITBI devido em favor do Município Z nessa constituição de direitos reais de garantia.","Não é possível exigir ITBI sobre direitos reais de garantia sobre imóveis.","D","Nos termos do art. 156, II, CF, o ITBI incide na transmissão onerosas de direitos reais sobre imóveis, exceto nos de garantia. CF88 Art. 156. Compete aos Municípios instituir impostos sobre: II - transmissão ""inter vivos"", a qualquer título, por ato oneroso, de bens imóveis, por natureza ou acessão física, e de direitos reais sobre imóveis, exceto os de garantia, bem como cessão de direitos a sua aquisição;"
"tributario","XXXI","Parcelamento Tributário na Recuperação Judicial","Uma sociedade empresária em recuperação judicial requereu, perante a Secretaria Estadual de Fazenda do Estado X, o parcelamento de suas dívidas tributárias estaduais. O Estado X dispunha de uma lei geral de parcelamento tributário, mas não de uma lei específica para parcelamento de débitos tributários de devedor em recuperação judicial. Diante desse cenário, assinale a afirmativa correta.","O parcelamento não pode ser concedido caso inexista lei específica estadual que disponha sobre as condições de parcelamento dos créditos tributários do devedor em recuperação judicial.","O prazo de parcelamento a ser concedido ao devedor em recuperação judicial quanto a tais débitos para com o Estado X não pode ser inferior ao concedido por lei federal específica de parcelamento dos créditos tributários do devedor em recuperação judicial.","O parcelamento do crédito tributário exclui a incidência de juros, em regra, no caso de devedor em recuperação judicial.","O parcelamento do crédito tributário exclui a incidência de multas, em regra, no caso de devedor em recuperação judicial.","B","Nos termos do art. 155-A, §3º, CTN, deve ser editada lei específica sobre condições de parcelamento dos créditos tributários de devedor em recuperação judicial. Contudo, o §3º do dispositivo afirma que a inexistência da lei específica importa na aplicação das leis gerais de parcelamento do ente federativo, não podendo ter prazo inferior à lei federal específica."
"tributario","XXXI","Prazo Decadencial em Matéria Tributária","Uma lei ordinária federal tratava de direitos do beneficiário de pensão previdenciária e também previa norma que ampliava, para 10 anos, o prazo decadencial para o lançamento dos créditos tributários referentes a uma contribuição previdenciária federal. A respeito da ampliação de prazo, assinale a afirmativa correta.","É inválida, pois, em razão do caráter nacional das contribuições previdenciárias federais, somente poderia ser veiculada por Resolução do Senado Federal.","É inválida, pois somente poderia ser veiculada por Lei Complementar.","É válida, pois o CTN prevê a possibilidade de que o prazo geral de 5 anos, nele previsto para a Fazenda Pública constituir o crédito tributário, seja ampliado por meio de Lei Ordinária Específica.","É válida, por existir expressa previsão constitucional, específica para contribuições de seguridade social, autorizando a alteração de prazo de constituição do crédito tributário por Lei Ordinária.","B","Nos termos do art. 146, III, b, CF, cabe à lei complementar estabelecer normas gerais de direito tributário, especialmente em relação à prescrição. Esse entendimento foi confirmado pelo STF, com o julgamento da Súmula Vinculante nº 8, que declarou inconstitucional ampliação do prazo decadencial por via de lei ordinária."
"administrativo","XXXI","Cargos em Comissão","Maria foi contratada, temporariamente, sem a realização de concurso público, para exercer o cargo de professora substituta em entidade autárquica federal, em decorrência do grande número de professores do quadro permanente em gozo de licença. A contratação foi objeto de prorrogação, de modo que Maria permaneceu em exercício por mais três anos, período durante o qual recebeu muitos elogios. Em razão disso, alunos, pais e colegas de trabalho levaram à direção da autarquia o pedido de criação de um cargo em comissão de professora, para que Maria fosse nomeada para ocupá-lo e continuasse a ali lecionar. Avalie a situação hipotética apresentada e, na qualidade de advogado(a), assinale a afirmativa correta.","Não é possível a criação de um cargo em comissão de professora, visto que tais cargos destinam-se apenas às funções de direção, chefia e assessoramento.","É adequada a criação de um cargo em comissão para que Maria prolongue suas atividades como professora na entidade administrativa, diante do justificado interesse público.","Maria tem estabilidade porque exerceu a função de professora por mais de três anos consecutivos, tornando desnecessária a criação de um cargo em comissão para que ela continue como professora na entidade autárquica.","Não é necessária a criação de um cargo em comissão para que Maria permaneça exercendo a função de professora, porque a contratação temporária pode ser prorrogada por tempo indeterminado.","A","Conforme art. 37, V, da CF/88 em se tratando de cargo em comissão, sua criação somente se destina a funções de direção, chefia e assessoramento: ""Art. 37 (...) V - as funções de confiança, exercidas exclusivamente por servidores ocupantes de cargo efetivo, e os cargos em comissão, a serem preenchidos por servidores de carreira nos casos, condições e percentuais mínimos previstos em lei, destinam-se apenas às atribuições de direção, chefia e assessoramento;"" Da mesma forma, através do RE 1.041.210 RG, o STF fixou a seguinte tese: a) A criação de cargos em comissão somente se justifica para o exercício de funções de direção, chefia e assessoramento, não se prestando ao desempenho de atividades burocráticas, técnicas ou operacionais;"
"administrativo","XXXI","Controle Interno e Invalidação de Atos","Otacílio, novo prefeito do Município Kappa, acredita que o controle interno é uma das principais ferramentas da função administrativa, razão pela qual determinou o levantamento de dados nos mais diversos setores da Administração local, a fim de apurar se os atos administrativos até então praticados continham vícios, bem como se ainda atendiam ao interesse público. Diante dos resultados de tal apuração, Otacílio deverá","revogar os atos administrativos que contenham vícios insanáveis, ainda que com base em valores jurídicos abstratos.","convalidar os atos administrativos que apresentem vícios sanáveis, mesmo que acarretem lesão ao interesse público.","desconsiderar as circunstâncias jurídicas e administrativas que houvessem imposto, limitado ou condicionado a conduta do agente nas decisões sobre a regularidade de ato administrativo.","indicar, de modo expresso, as consequências jurídicas e administrativas da invalidação de ato administrativo.","D","A questão exigia conhecimento do Art. 21 da LINDB, o qual afirma: ""Art. 21. A decisão que, nas esferas administrativa, controladora ou judicial, decretar a invalidação de ato, contrato, ajuste, processo ou norma administrativa deverá indicar de modo expresso suas consequências jurídicas e administrativas."" Portanto, Otacílio deverá indicar, de modo expresso, as consequências jurídicas e administrativas da invalidação de ato administrativo."
